LAUS Code,State FIPS Code,Area FIPS Code,Selected Area and Division,Year,Month,Unemployment Rate
MT0631080000000,06,31080,"Los Angeles-Long Beach-Anaheim, CA MSA",1990,01,4.8
DV0611244000000,06,11244,"Anaheim-Santa Ana-Irvine, CA Met Div",1990,01,2.8
DV0631084000000,06,31084,"Los Angeles-Long Beach-Glendale, CA Met Div",1990,01,5.7
MT0641860000000,06,41860,"San Francisco-Oakland-Hayward, CA MSA",1990,01,3.2
DV0636084000000,06,36084,"Oakland-Hayward-Berkeley, CA Met Div",1990,01,3.5
DV0641884000000,06,41884,"San Francisco-Redwood City-South San Francisco, CA Met Div",1990,01,2.9
DV0642034000000,06,42034,"San Rafael, CA Met Div",1990,01,2.2
MT1147900000000,11,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1990,01,2.5
DV2443524000000,24,43524,"Silver Spring-Frederick-Rockville, MD Met Div",1990,01,1.9
DV1147894000000,11,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",1990,01,2.6
MT1233100000000,12,33100,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",1990,01,6.4
DV1222744000000,12,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Met Div",1990,01,5.4
DV1233124000000,12,33124,"Miami-Miami Beach-Kendall, FL Met Div",1990,01,6.7
DV1248424000000,12,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Met Div",1990,01,6.8
MT1716980000000,17,16980,"Chicago-Naperville-Elgin, IL-IN-WI MSA",1990,01,6.0
DV1716974000000,17,16974,"Chicago-Naperville-Arlington Heights, IL Met Div",1990,01,(n)
DV1720994000000,17,20994,"Elgin, IL Met Div",1990,01,5.4
DV1823844000000,18,23844,"Gary, IN Met Div",1990,01,5.9
DV1729404000000,17,29404,"Lake County-Kenosha County, IL-WI Met Div",1990,01,4.0
MT2571650000000,25,71650,"Boston-Cambridge-Nashua, MA-NH Met NECTA",1990,01,4.8
DV2571654000000,25,71654,"Boston-Cambridge-Newton, MA NECTA Div",1990,01,4.5
DV2572104000000,25,72104,"Brockton-Bridgewater-Easton, MA NECTA Div",1990,01,6.5
DV2573104000000,25,73104,"Framingham, MA NECTA Div",1990,01,4.5
DV2573604000000,25,73604,"Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Div",1990,01,6.1
DV2574204000000,25,74204,"Lawrence-Methuen Town-Salem, MA-NH NECTA Div",1990,01,7.8
DV2574804000000,25,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Div",1990,01,6.0
DV2574854000000,25,74854,"Lynn-Saugus-Marblehead, MA NECTA Div",1990,01,5.1
